Name	Subtasks	Server	Dependent On
bir_objects.aepoep.lkp_aepcontroltable		BI-RPT-PROD	"scands_prod.dbo.b_memberapplicationhistory, scands_prod.dbo.d_salesrep, BIR_Objects.dbo.SalesBrokerAgencyCrosswalk, ikaods.dbo.gw_enrollmember_details, BIR_Objects.dbo.lkp_CMSPBP, scands_prod.dbo.d_site_attributes, scands_finance.dbo.lkp_glbenefitplan, scands_prod.dbo.d_member, scands_prod.dbo.d_memberplan, scands_prod.dbo.d_memberenrollment_mc400, scands_prod.dbo.d_memberpcp, scands_prod.dbo.d_membersite, scands_prod.dbo.d_memberenrollment, scands_prod.dbo.f_cmstrr, scands_prod.dbo.F_CMSMMR, AgentCubdedODS.A3_curr.AgencyManagementParty, AgentCubdedODS.A3_curr.AgencyManagementArrangement, AgentCubdedODS.A3_curr.AgencyManagementArrangementContract, ikaods.dbo.GW_BEQ_RESPONSE_ARCHIVE, Marketing.dbo.Rpt_EnrollCampaignSource_TS, BIR_Objects.dbo.Campaign Map, scands_prod.dbo.F_CampaignCall, Marketing.dbo.Mktg_Digital_Metrics, BIR_Objects.dbo.campaign_map_xref, Marketing.dbo.F_Marketing_Campaign, scands_prod.dbo.F_LeadSource, scands_prod.dbo.F_LeadToMember, scands_prod.dbo.d_provider, BIR_Objects.AEPOEP.lkp_AEPPremiumBilling, SCANDS_Prod.dbo.D_MemberRider, scands_prod.dbo.f_membermonth, ikaods.dbo.gw_cms_weekly_monthly_trr_archi, scands_prod.dbo.D_Member_Void, scands_prod.dbo.D_Member_Attributes_Void"
bir_objects.aepoep.rpt_aepbudgetvsactual		BI-RPT-PROD	"scands_finance.dbo.lkp_glbenefitplan, scands_prod.dbo.b_memberapplicationhistory, scands_prod.dbo.d_memberenrollment, scands_prod.dbo.d_memberenrollment_mc400, ikaods.dbo.GW_Enrollment_Details, scands_prod.dbo.d_salesrep, scands_prod.dbo.d_member, scands_prod.dbo.d_member_attributes, scands_prod.dbo.D_Member_Void, scands_prod.dbo.D_Member_Attributes_Void, scands_prod.dbo.d_site_attributes, scands_prod.dbo.d_provider, BIR_Objects.AEPOEP.lkp_AEPPremiumBilling, SCANDS_Prod.dbo.D_MemberRider, scands_prod.dbo.f_membermonth, scands_prod.dbo.d_memberplan, ikaods.dbo.gw_cms_weekly_monthly_trr_archi, ikaods.dbo.GW_BEQ_RESPONSE_ARCHIVE, BIR_Objects.dbo.lkp_CMSPBP, scands_prod.dbo.f_cmstrr, scands_prod.dbo.d_memberpcp, scands_prod.dbo.d_membersite"
bir_objects.aepoep.rpt_aepenrollmentdetail		BI-RPT-PROD	"scands_prod.dbo.d_membersite, scands_prod.dbo.d_memberpcp, scands_prod.dbo.f_cmstrr, BIR_Objects.dbo.lkp_CMSPBP, ikaods.dbo.GW_BEQ_RESPONSE_ARCHIVE, ikaods.dbo.gw_cms_weekly_monthly_trr_archi, scands_prod.dbo.d_memberplan, scands_prod.dbo.f_membermonth, SCANDS_Prod.dbo.D_MemberRider, BIR_Objects.AEPOEP.lkp_AEPPremiumBilling, scands_prod.dbo.d_provider, scands_prod.dbo.d_site_attributes, scands_prod.dbo.D_Member_Void, scands_prod.dbo.D_Member_Attributes_Void, scands_prod.dbo.d_member_attributes, scands_prod.dbo.d_member, scands_prod.dbo.d_salesrep, ikaods.dbo.GW_Enrollment_Details, scands_prod.dbo.d_memberenrollment_mc400, scands_prod.dbo.d_memberenrollment, scands_prod.dbo.b_memberapplicationhistory, scands_finance.dbo.lkp_glbenefitplan"
bir_objects.aepoep.rpt_aeppbpmoves		BI-RPT-PROD	"scands_prod.dbo.d_membersite, scands_prod.dbo.d_memberpcp, scands_prod.dbo.f_cmstrr, BIR_Objects.dbo.lkp_CMSPBP, ikaods.dbo.GW_BEQ_RESPONSE_ARCHIVE, ikaods.dbo.gw_cms_weekly_monthly_trr_archi, scands_prod.dbo.d_memberplan, scands_prod.dbo.f_membermonth, SCANDS_Prod.dbo.D_MemberRider, BIR_Objects.AEPOEP.lkp_AEPPremiumBilling, scands_prod.dbo.d_provider, scands_prod.dbo.d_site_attributes, scands_prod.dbo.D_Member_Void, scands_prod.dbo.D_Member_Attributes_Void, scands_prod.dbo.d_member_attributes, scands_prod.dbo.d_member, scands_prod.dbo.d_salesrep, ikaods.dbo.GW_Enrollment_Details, scands_prod.dbo.d_memberenrollment_mc400, scands_prod.dbo.d_memberenrollment, scands_prod.dbo.b_memberapplicationhistory, scands_finance.dbo.lkp_glbenefitplan"
scands_prod.dbo.d_membersite		BI-RPT-PROD	"D_Memberpcpsite, scands_prod.dbo.D_Memberpcpsite"
scands_prod.dbo.f_encountereob		BI-RPT-PROD	"scands_prod.dbo.d_member_attributes, scands_prod.dbo.D_Member_Statuses, scands_prod.dbo.d_site_attributes, scands_prod.dbo.d_provider, MM_EOBType_History, lkp_ConversionCodes"
scands_prod.dbo.f_encountereob_detail		BI-RPT-PROD	"lkp_ConversionCodes, scands_prod.dbo.d_member_attributes, scands_prod.dbo.D_Member_Statuses, scands_prod.dbo.d_site_attributes, scands_prod.dbo.d_provider, MM_EOBType_History"
product.dbo.kpi_formatmapping_config		BI-RPT-PROD	"product.dbo.spKPI_getExceptionRecords, product.dbo.spKPI_LoadtoDestination, product.dbo.spKPI_VenderInputValidation, product.dbo.vw_Vendor_KPI"
product.dbo.kpi_vendor_config		BI-RPT-PROD	"product.dbo.vw_Vendor_KPI, product.dbo.spKPI_getExceptionRecords, product.dbo.spKPI_LoadtoDestination, product.dbo.spKPI_VenderInputValidation"
product.dbo.kpi_vendor_input		BI-RPT-PROD	"product.dbo.vw_Vendor_KPI, product.dbo.spKPI_getExceptionRecords, product.dbo.spKPI_LoadtoDestination, product.dbo.spKPI_VenderInputValidation"
